Số Báo Danh, Họ và Tên, Toán, Ngữ Văn, Vật Lý, Hóa Học, Sinh Học, Lịch Sử, Địa Lý, GDCD, KHTN, KHXH, Ngoại Ngữ, Ghi Chú, Tỉnh
BD1204744,,8.8,5.0,7.0,6.0,6.0,,,,,,7.4,N1,BinhDinh
BD1204745,,7.6,6.5,6.25,5.25,5.25,,,,,,6.8,N1,BinhDinh
BD1204746,,5.2,6.25,,,,6.5,8.0,8.25,,,4.4,N1,BinhDinh
BD1204747,,7.8,4.25,,,,6.0,6.0,9.0,,,3.8,N1,BinhDinh
BD1204748,,5.2,4.75,,,,3.0,6.25,7.0,,,4.6,N1,BinhDinh
BD1204749,,5.8,5.25,,,,6.25,7.0,9.0,,,2.6,N1,BinhDinh
BD1204750,,6.2,5.75,,,,5.0,7.0,6.75,,,5.2,N1,BinhDinh
BD1204751,,6.0,5.75,,,,2.5,6.0,8.75,,,5.6,N1,BinhDinh
BD1204752,,6.6,6.0,4.75,2.75,4.0,3.75,5.25,8.0,,,4.4,N1,BinhDinh
BD1204753,,3.2,5.75,,,,3.0,6.75,7.0,,,1.8,N1,BinhDinh
BD1204754,,6.2,5.0,5.75,2.25,3.75,,,,,,3.6,N1,BinhDinh
BD1204755,,2.2,3.75,2.5,2.25,2.25,3.25,3.5,4.25,,,2.2,N1,BinhDinh
BD1204756,,5.0,5.75,2.75,3.5,4.5,3.25,4.0,7.75,,,2.2,N1,BinhDinh
BD1204757,,5.8,6.0,,,,5.75,6.5,7.5,,,5.0,N1,BinhDinh
BD1204758,,5.8,7.0,5.5,5.5,5.25,,,,,,4.2,N1,BinhDinh
BD1204759,,5.2,4.25,4.75,2.75,5.75,6.75,7.5,7.5,,,4.8,N1,BinhDinh
BD1204760,,7.2,5.0,6.75,3.5,4.0,,,,,,4.6,N1,BinhDinh
BD1204761,,6.4,5.5,6.25,3.25,4.5,,,,,,3.6,N1,BinhDinh
BD1204762,,7.2,5.75,6.5,7.0,4.0,,,,,,3.4,N1,BinhDinh
BD1204763,,5.2,5.75,,,,5.25,6.0,8.5,,,3.6,N1,BinhDinh
BD1204764,,7.0,6.75,,,,4.5,6.25,8.5,,,6.6,N1,BinhDinh
BD1204765,,3.8,4.5,,,,3.5,6.0,6.75,,,3.0,N1,BinhDinh
BD1204766,,2.6,3.5,2.5,3.25,1.75,4.0,5.75,4.5,,,2.6,N1,BinhDinh
BD1204767,,6.2,6.25,5.25,6.0,5.0,4.0,4.75,6.5,,,2.2,N1,BinhDinh
BD1204768,,9.2,5.75,7.25,7.5,9.0,,,,,,6.4,N1,BinhDinh
BD1204769,,6.0,6.25,7.0,6.0,6.0,,,,,,6.4,N1,BinhDinh
BD1204770,,6.8,3.75,4.5,4.5,4.0,,,,,,4.8,N1,BinhDinh
BD1204771,,7.2,6.75,4.75,6.5,6.5,5.75,7.5,7.75,,,6.6,N1,BinhDinh
BD1204772,,3.8,5.5,,,,5.0,6.25,7.5,,,3.6,N1,BinhDinh
BD1204773,,6.0,5.5,,,,5.75,6.75,9.25,,,5.8,N1,BinhDinh
BD1204774,,7.6,5.0,2.75,7.25,5.5,,,,,,3.4,N1,BinhDinh
BD1204775,,6.4,6.0,4.0,6.25,7.25,,,,,,5.4,N1,BinhDinh
BD1204776,,5.0,5.0,,,,4.5,6.75,8.5,,,4.4,N1,BinhDinh
BD1204777,,7.4,6.5,7.0,5.5,5.5,,,,,,7.6,N1,BinhDinh
BD1204778,,8.6,4.5,6.75,8.0,3.0,,,,,,4.2,N1,BinhDinh
BD1204779,,5.2,3.25,,,,2.75,6.0,,,,,,BinhDinh
BD1204780,,4.4,4.25,,,,4.5,6.0,6.0,,,3.2,N1,BinhDinh
BD1204781,,7.6,7.75,,,,3.25,8.25,8.0,,,6.8,N1,BinhDinh
BD1204782,,6.6,5.0,6.5,4.5,5.25,,,,,,2.2,N1,BinhDinh
BD1204783,,4.4,6.25,,,,5.75,7.75,8.0,,,5.6,N1,BinhDinh
BD1204784,,9.0,3.5,4.25,8.75,9.5,,,,,,5.6,N1,BinhDinh
BD1204785,,6.2,4.5,,,,5.25,7.25,8.75,,,3.8,N1,BinhDinh
BD1204786,,5.2,4.5,,,,3.5,5.75,7.5,,,2.8,N1,BinhDinh
BD1204787,,4.8,5.0,,,,3.5,6.5,8.25,,,3.6,N1,BinhDinh
BD1204788,,5.4,5.25,,,,4.25,6.0,7.75,,,3.8,N1,BinhDinh
BD1204789,,6.8,5.0,6.0,4.25,5.5,,,,,,4.8,N1,BinhDinh
BD1204790,,4.0,5.0,,,,2.75,6.5,7.25,,,3.4,N1,BinhDinh
BD1204791,,7.8,6.75,,,,5.25,6.75,7.25,,,7.2,N1,BinhDinh
BD1204792,,4.6,4.5,6.0,4.0,3.75,,,,,,4.2,N1,BinhDinh
BD1204793,,6.0,7.0,,,,5.0,7.25,9.5,,,3.6,N1,BinhDinh
BD1204794,,6.6,4.75,6.5,6.0,5.0,,,,,,2.8,N1,BinhDinh
BD1204795,,5.8,5.75,3.25,6.25,4.75,,,,,,2.6,N1,BinhDinh
BD1204796,,3.8,3.0,3.0,3.0,4.5,4.75,5.5,8.75,,,3.6,N1,BinhDinh
BD1204797,,8.8,5.5,7.25,4.0,4.5,,,,,,8.8,N1,BinhDinh
BD1204798,,7.8,8.0,,,,2.75,5.75,8.25,,,8.6,N1,BinhDinh
BD1204799,,7.0,6.75,3.75,6.5,2.25,4.25,4.5,8.5,,,4.2,N1,BinhDinh
BD1204800,,8.0,5.5,8.0,5.25,5.0,,,,,,8.2,N1,BinhDinh
BD1204801,,2.0,4.25,,,,3.5,5.0,8.0,,,3.2,N1,BinhDinh
BD1204802,,4.6,5.25,,,,5.75,6.25,6.5,,,7.2,N1,BinhDinh
BD1204803,,7.6,5.0,4.5,4.0,5.0,,,,,,3.2,N1,BinhDinh
BD1204804,,4.8,7.0,,,,3.5,6.0,8.25,,,5.0,N1,BinhDinh
BD1204805,,3.0,3.0,,,,3.25,,,,,,,BinhDinh
BD1204806,,4.6,6.25,,,,3.5,6.5,7.25,,,4.4,N1,BinhDinh
BD1204807,,4.6,5.75,,,,6.0,8.0,8.5,,,5.4,N1,BinhDinh
BD1204808,,7.0,5.25,6.25,3.75,4.25,,,,,,4.8,N1,BinhDinh
BD1204809,,8.0,5.0,,,,4.25,6.75,7.25,,,5.6,N1,BinhDinh
BD1204810,,7.0,5.5,6.0,5.25,4.0,,,,,,4.6,N1,BinhDinh
BD1204811,,7.6,7.5,,,,5.0,7.5,9.75,,,8.4,N1,BinhDinh
BD1204812,,6.0,5.5,,,,3.25,5.25,7.0,,,4.0,N1,BinhDinh
BD1204813,,5.2,6.0,,,,6.75,6.25,8.25,,,3.4,N1,BinhDinh
BD1204814,,8.0,6.5,6.25,6.0,5.5,,,,,,3.2,N1,BinhDinh
BD1204815,,4.4,3.5,6.0,5.25,1.5,3.5,3.5,7.25,,,3.2,N1,BinhDinh
BD1204816,,8.0,5.75,6.25,7.5,6.25,,,,,,6.0,N1,BinhDinh
BD1204817,,6.8,4.25,5.5,3.0,3.25,,,,,,5.4,N1,BinhDinh
BD1204818,,5.2,5.5,,,,6.25,6.75,8.75,,,3.2,N1,BinhDinh
BD1204819,,3.6,3.25,4.5,3.0,3.5,3.0,4.5,,,,,,BinhDinh
BD1204820,,5.8,4.5,3.0,3.0,4.0,3.25,6.75,7.75,,,3.6,N1,BinhDinh
BD1204821,,3.6,4.75,,,,3.75,5.75,6.5,,,2.2,N1,BinhDinh
BD1204822,,3.8,4.0,2.75,3.5,2.25,3.25,7.25,7.25,,,3.0,N1,BinhDinh
BD1204823,,5.0,5.5,,,,4.0,6.5,8.0,,,3.0,N1,BinhDinh
BD1204824,,5.8,4.25,4.25,5.5,3.5,,,,,,4.8,N1,BinhDinh
BD1204825,,7.4,6.0,6.75,4.75,6.0,,,,,,7.0,N1,BinhDinh
BD1204826,,3.8,4.0,3.0,2.25,4.75,3.5,4.5,4.25,,,3.6,N1,BinhDinh
BD1204827,,5.6,4.25,,,,3.5,3.5,5.75,,,2.8,N1,BinhDinh
BD1204828,,4.2,5.0,,,,3.0,5.5,6.5,,,4.4,N1,BinhDinh
BD1204829,,4.8,4.25,2.25,2.5,2.75,3.5,7.0,7.25,,,4.6,N1,BinhDinh
BD1204830,,8.2,5.75,6.25,6.75,6.5,,,,,,5.4,N1,BinhDinh
BD1204831,,5.8,6.25,,,,5.25,5.5,7.75,,,5.4,N1,BinhDinh
BD1204832,,7.0,7.25,3.25,3.25,4.25,,,,,,6.2,N1,BinhDinh
BD1204833,,4.2,6.25,,,,4.5,3.75,6.5,,,4.2,N1,BinhDinh
BD1204834,,7.6,6.25,6.25,6.0,4.75,,,,,,3.6,N1,BinhDinh
BD1204835,,7.0,5.0,,,,4.0,6.75,6.5,,,4.2,N1,BinhDinh
BD1204836,,4.0,3.0,1.75,1.0,2.75,4.5,6.5,6.0,,,4.2,N1,BinhDinh
BD1204837,,6.8,4.75,5.75,4.5,5.5,,,,,,3.4,N1,BinhDinh
BD1204838,,7.2,4.25,,,,5.0,5.75,6.75,,,4.0,N1,BinhDinh
BD1204839,,6.4,6.25,,,,4.25,5.25,7.0,,,4.0,N1,BinhDinh
BD1204840,,7.6,6.0,5.0,7.0,4.75,,,,,,5.0,N1,BinhDinh
BD1204841,,6.6,,6.75,7.0,,,,,,,,,BinhDinh
BD1204842,,2.6,6.0,,,,2.75,4.5,5.25,,,2.6,N1,BinhDinh
BD1204843,,4.6,5.25,,,,4.25,6.0,7.0,,,3.6,N1,BinhDinh
BD1204844,,7.0,6.0,,,,4.5,7.0,8.5,,,4.8,N1,BinhDinh
BD1204845,,3.6,3.75,,,,3.75,4.5,6.0,,,2.6,N1,BinhDinh
BD1204846,,6.6,5.5,3.0,4.25,3.0,2.5,6.25,7.25,,,3.0,N1,BinhDinh
BD1204847,,4.8,6.0,,,,4.75,6.75,9.0,,,3.4,N1,BinhDinh
BD1204848,,7.6,6.25,5.0,7.25,6.0,,,,,,5.6,N1,BinhDinh
BD1204849,,3.2,3.25,,,,2.75,6.0,7.75,,,3.0,N1,BinhDinh
BD1204850,,7.0,6.0,,,,8.25,7.75,8.5,,,4.0,N1,BinhDinh
BD1204851,,6.6,6.25,,,,5.75,6.25,8.5,,,3.8,N1,BinhDinh
BD1204852,,4.6,5.0,,,,4.0,5.5,6.0,,,5.0,N1,BinhDinh
BD1204853,,7.6,4.0,6.75,7.0,5.5,,,,,,5.4,N1,BinhDinh
BD1204854,,3.2,5.0,,,,3.25,6.25,6.0,,,1.6,N1,BinhDinh
BD1204855,,5.6,5.0,5.0,4.25,3.25,,,,,,3.2,N1,BinhDinh
BD1204856,,2.4,5.5,,,,3.5,6.5,5.75,,,2.8,N1,BinhDinh
BD1204857,,6.0,7.0,,,,4.0,6.0,6.75,,,4.2,N1,BinhDinh
BD1204858,,5.4,3.75,4.25,5.0,3.25,3.5,6.25,6.25,,,2.8,N1,BinhDinh
BD1204859,,3.2,5.25,,,,5.25,8.0,8.75,,,3.4,N1,BinhDinh
BD1204860,,3.6,2.5,3.25,2.0,4.25,2.5,5.0,5.75,,,3.4,N1,BinhDinh
BD1204861,,7.0,4.5,7.25,5.75,4.75,,,,,,5.2,N1,BinhDinh
BD1204862,,6.6,5.25,,,,3.0,5.0,7.5,,,4.6,N1,BinhDinh
BD1204863,,4.4,4.75,,,,6.0,7.75,8.5,,,3.0,N1,BinhDinh
BD1204864,,6.0,5.5,5.0,4.5,4.25,,,,,,3.4,N1,BinhDinh
BD1204865,,4.8,7.5,,,,4.25,5.5,8.75,,,4.4,N1,BinhDinh
BD1204866,,2.8,4.75,3.25,2.25,3.25,4.25,7.0,6.5,,,2.4,N1,BinhDinh
BD1204867,,7.4,6.5,3.5,6.0,7.0,,,,,,3.0,N1,BinhDinh
BD1204868,,3.8,3.0,,,,3.0,5.25,7.0,,,6.6,N1,BinhDinh
BD1204869,,6.2,5.75,,,,4.0,6.25,8.0,,,4.6,N1,BinhDinh
BD1204870,,7.4,5.5,8.75,6.5,5.5,,,,,,7.2,N1,BinhDinh
BD1204871,,8.8,7.0,6.5,7.5,6.75,,,,,,9.2,N1,BinhDinh
BD1204872,,7.4,6.0,4.5,3.75,5.25,,,,,,4.8,N1,BinhDinh
BD1204873,,7.4,5.0,6.0,7.0,4.25,,,,,,5.2,N1,BinhDinh
BD1204874,,4.2,6.5,,,,4.75,7.75,7.75,,,3.0,N1,BinhDinh
BD1204875,,6.8,7.0,,,,3.5,6.5,9.25,,,5.8,N1,BinhDinh
BD1204876,,7.6,7.5,5.0,6.0,4.5,,,,,,6.0,N1,BinhDinh
BD1204877,,5.8,5.5,,,,4.25,6.0,7.75,,,6.0,N1,BinhDinh
BD1204878,,6.4,5.0,4.75,5.0,5.0,,,,,,5.6,N1,BinhDinh
BD1204879,,3.6,6.25,3.5,4.75,3.75,,,,,,4.4,N1,BinhDinh
BD1204880,,3.8,4.5,,,,2.5,4.5,3.25,,,3.4,N1,BinhDinh
BD1204881,,3.8,4.5,,,,5.0,4.75,5.5,,,2.4,N1,BinhDinh
BD1204882,,4.0,5.25,,,,3.0,4.25,7.25,,,3.6,N1,BinhDinh
BD1204883,,3.2,3.5,,,,4.0,6.5,8.5,,,3.6,N1,BinhDinh
BD1204884,,6.0,,,6.25,5.25,,,,,,,,BinhDinh
BD1204885,,3.0,5.0,2.75,2.25,1.75,3.0,4.5,6.25,,,2.0,N1,BinhDinh
BD1204886,,7.8,5.0,5.75,4.25,3.25,,,,,,4.4,N1,BinhDinh
BD1204887,,4.2,6.0,,,,5.0,7.25,8.5,,,2.2,N1,BinhDinh
BD1204888,,7.4,5.5,5.75,5.5,2.75,,,,,,2.6,N1,BinhDinh
BD1204889,,2.6,,2.5,2.75,,,,,,,,,BinhDinh
BD1204890,,4.6,5.75,,,,5.0,7.25,9.0,,,3.4,N1,BinhDinh
BD1204891,,5.6,5.25,4.75,6.75,5.5,,,,,,6.6,N1,BinhDinh
BD1204892,,5.8,4.0,5.0,3.25,2.5,3.5,5.0,6.0,,,3.8,N1,BinhDinh
BD1204893,,8.6,5.75,5.75,5.75,3.5,,,,,,5.6,N1,BinhDinh
BD1204894,,7.2,5.5,7.0,7.0,4.75,,,,,,3.8,N1,BinhDinh
BD1204895,,7.8,7.0,6.0,6.25,4.25,,,,,,5.8,N1,BinhDinh
BD1204896,,5.2,6.5,,,,5.25,6.75,8.25,,,2.2,N1,BinhDinh
BD1204897,,2.6,2.75,,,,3.25,5.0,8.25,,,2.4,N1,BinhDinh
BD1204898,,2.2,4.5,,,,3.25,4.0,5.75,,,3.2,N1,BinhDinh
BD1204899,,6.0,6.0,,,,8.25,8.25,9.0,,,4.6,N1,BinhDinh
BD1204900,,4.6,5.25,,,,4.5,5.5,8.5,,,4.0,N1,BinhDinh
BD1204901,,6.0,4.75,5.75,4.25,5.5,2.75,4.5,6.75,,,2.8,N1,BinhDinh
BD1204902,,4.4,6.75,,,,6.0,6.75,8.25,,,3.8,N1,BinhDinh
BD1204903,,5.6,3.75,,,,5.0,7.25,8.25,,,3.2,N1,BinhDinh
BD1204904,,8.8,3.75,7.75,5.75,5.5,,,,,,6.8,N1,BinhDinh
BD1204905,,8.8,8.0,5.5,5.25,5.25,,,,,,8.0,N1,BinhDinh
BD1204906,,4.6,5.5,,,,4.75,5.75,9.5,,,2.2,N1,BinhDinh
BD1204907,,4.0,6.25,,,,4.5,6.0,8.75,,,4.8,N1,BinhDinh
BD1204908,,4.6,7.25,,,,5.0,7.0,8.5,,,7.0,N1,BinhDinh
BD1204909,,6.0,5.75,,,,5.0,5.5,8.5,,,3.2,N1,BinhDinh
BD1204910,,5.6,5.75,4.0,4.0,3.0,3.5,5.75,7.0,,,4.0,N1,BinhDinh
BD1204911,,6.0,5.75,,,,7.0,7.0,7.75,,,3.4,N1,BinhDinh
BD1204912,,4.2,5.0,3.5,2.25,4.75,4.25,6.5,6.25,,,3.4,N1,BinhDinh
BD1204913,,4.8,4.75,,,,4.75,6.0,9.0,,,3.6,N1,BinhDinh
BD1204914,,6.8,6.0,6.0,1.75,2.75,4.25,4.0,7.0,,,3.6,N1,BinhDinh
BD1204915,,7.0,5.5,4.0,3.5,4.5,4.25,7.75,8.75,,,4.0,N1,BinhDinh
BD1204916,,2.8,5.25,,,,6.75,7.75,7.25,,,3.0,N1,BinhDinh
BD1204917,,4.8,4.5,2.75,4.0,3.0,,,,,,2.6,N1,BinhDinh
BD1204918,,6.6,7.25,7.0,5.0,5.25,,,,,,7.0,N1,BinhDinh
BD1204919,,4.8,6.25,,,,5.75,7.5,8.75,,,5.2,N1,BinhDinh
BD1204920,,7.4,7.25,,,,5.25,8.0,7.25,,,6.2,N1,BinhDinh
BD1204921,,5.0,4.25,5.75,3.75,4.25,,,,,,3.8,N1,BinhDinh
BD1204922,,6.2,4.5,,,,3.25,5.75,8.25,,,2.6,N1,BinhDinh
BD1204923,,8.6,5.75,4.75,6.5,6.25,,,,,,6.2,N1,BinhDinh
BD1204924,,6.8,6.25,4.0,4.25,5.5,,,,,,8.0,N1,BinhDinh
BD1204925,,7.4,6.75,6.0,6.25,5.25,,,,,,7.4,N1,BinhDinh
BD1204926,,5.0,5.5,,,,3.5,6.5,7.0,,,5.6,N1,BinhDinh
BD1204927,,7.6,5.5,6.75,4.75,5.25,,,,,,4.4,N1,BinhDinh
BD1204928,,4.8,4.5,2.75,3.25,3.75,,,,,,2.2,N1,BinhDinh
BD1204929,,7.6,5.0,5.5,6.0,5.75,,,,,,5.8,N1,BinhDinh
BD1204930,,3.6,4.0,1.75,1.5,4.0,3.75,3.75,6.5,,,3.4,N1,BinhDinh
BD1204931,,3.8,4.25,,,,3.25,4.25,6.0,,,4.0,N1,BinhDinh
BD1204932,,5.6,6.5,4.0,5.5,6.25,,,,,,6.2,N1,BinhDinh
BD1204933,,6.4,4.25,5.25,3.5,4.5,,,,,,2.8,N1,BinhDinh
BD1204934,,2.2,6.25,,,,3.0,6.0,7.0,,,1.8,N1,BinhDinh
BD1204935,,8.4,5.0,6.25,7.25,3.75,,,,,,5.8,N1,BinhDinh
BD1204936,,3.0,4.75,2.0,3.25,4.5,4.25,5.75,9.0,,,3.2,N1,BinhDinh
BD1204937,,5.8,7.0,,,,4.0,7.25,8.0,,,6.6,N1,BinhDinh
BD1204938,,6.6,5.75,5.0,5.25,4.5,,,,,,5.0,N1,BinhDinh
BD1204939,,4.8,3.25,2.5,2.25,2.25,4.5,5.0,7.5,,,5.8,N1,BinhDinh
BD1204940,,6.6,7.5,5.25,5.5,3.75,4.25,6.0,6.5,,,5.2,N1,BinhDinh
BD1204941,,3.8,5.5,,,,3.25,5.0,5.75,,,2.0,N1,BinhDinh
BD1204942,,6.2,6.0,4.5,4.0,3.75,,,,,,3.8,N1,BinhDinh
BD1204943,,6.8,6.0,,,,7.5,7.25,10.0,,,3.4,N1,BinhDinh
BD1204944,,4.2,2.75,,,,3.75,6.0,9.25,,,3.4,N1,BinhDinh
BD1204945,,7.8,3.75,6.25,8.0,6.5,,,,,,4.8,N1,BinhDinh
BD1204946,,3.0,6.0,,,,4.25,4.5,6.25,,,2.2,N1,BinhDinh
BD1204947,,7.8,5.0,5.5,3.75,4.75,,,,,,6.2,N1,BinhDinh
BD1204948,,4.6,6.5,,,,4.5,7.5,7.75,,,4.0,N1,BinhDinh
BD1204949,,9.4,5.25,6.75,8.75,5.25,,,,,,8.2,N1,BinhDinh
BD1204950,,7.2,5.5,7.25,6.5,3.75,,,,,,3.2,N1,BinhDinh
BD1204951,,6.6,5.5,6.5,5.75,4.5,2.75,6.25,6.25,,,3.2,N1,BinhDinh
BD1204952,,6.0,5.5,,,,4.0,6.0,9.5,,,2.6,N1,BinhDinh
BD1204953,,5.8,6.25,,,,6.0,5.25,8.75,,,4.0,N1,BinhDinh
BD1204954,,2.2,2.25,,,,3.25,4.5,,,,,,BinhDinh
BD1204955,,5.2,3.5,,,,2.0,4.5,5.75,,,2.2,N1,BinhDinh
BD1204956,,5.2,6.5,6.25,3.75,6.0,,,,,,6.4,N1,BinhDinh
BD1204957,,4.4,3.5,,,,3.0,3.25,5.25,,,1.8,N1,BinhDinh
BD1204958,,5.2,3.5,2.5,5.0,6.0,4.5,5.25,6.25,,,3.0,N1,BinhDinh
BD1204959,,3.0,2.5,,,,4.25,6.5,8.5,,,3.0,N1,BinhDinh
BD1204960,,7.6,,6.0,5.75,5.0,,,,,,,,BinhDinh
BD1204961,,7.4,6.0,3.75,4.75,4.75,,,,,,3.2,N1,BinhDinh
BD1204962,,6.2,5.25,4.0,3.0,4.0,4.0,6.25,6.75,,,3.2,N1,BinhDinh
BD1204963,,7.6,5.75,,,,6.25,7.5,9.0,,,4.6,N1,BinhDinh
BD1204964,,3.0,5.0,2.0,2.25,4.25,3.25,5.0,7.5,,,3.4,N1,BinhDinh
BD1204965,,7.8,5.75,5.25,5.0,4.25,,,,,,9.0,N1,BinhDinh
BD1204966,,3.8,5.25,,,,3.5,4.5,6.5,,,2.8,N1,BinhDinh
BD1204967,,4.6,4.75,,,,3.25,5.5,9.0,,,2.8,N1,BinhDinh
BD1204968,,5.2,5.0,,,,3.5,6.5,7.0,,,3.0,N1,BinhDinh
BD1204969,,4.0,2.25,,,,3.0,6.25,6.5,,,3.0,N1,BinhDinh
BD1204970,,7.4,6.5,7.25,5.25,5.0,,,,,,6.6,N1,BinhDinh
BD1204971,,5.6,6.5,,,,4.25,7.25,8.0,,,4.6,N1,BinhDinh
BD1204972,,5.6,6.0,,,,6.25,6.0,9.25,,,5.8,N1,BinhDinh
BD1204973,,7.2,8.0,6.5,6.75,4.75,,,,,,5.8,N1,BinhDinh
BD1204974,,7.0,6.0,8.0,6.75,4.0,,,,,,6.0,N1,BinhDinh
BD1204975,,4.4,5.25,,,,4.25,6.75,9.0,,,4.0,N1,BinhDinh
BD1204976,,6.6,6.0,5.75,5.75,1.75,,,,,,4.2,N1,BinhDinh
BD1204977,,7.6,,,7.0,6.75,,,,,,,,BinhDinh
BD1204978,,5.6,5.25,2.5,3.75,3.5,5.75,5.5,8.0,,,3.0,N1,BinhDinh
BD1204979,,7.0,5.0,4.0,5.0,4.0,,,,,,3.4,N1,BinhDinh
BD1204980,,2.4,3.0,,,,3.5,6.0,8.0,,,3.6,N1,BinhDinh
BD1204981,,5.6,5.5,,,,4.25,7.25,10.0,,,2.4,N1,BinhDinh
BD1204982,,7.0,6.5,2.25,3.75,3.5,2.0,5.5,5.75,,,4.8,N1,BinhDinh
BD1204983,,4.0,5.75,,,,5.25,6.5,9.0,,,4.4,N1,BinhDinh
BD1204984,,6.2,5.75,,,,4.75,6.25,9.25,,,6.4,N1,BinhDinh
BD1204985,,8.6,5.25,8.25,7.25,5.75,,,,,,7.0,N1,BinhDinh
BD1204986,,3.2,5.75,,,,5.0,6.5,8.0,,,2.4,N1,BinhDinh
BD1204987,,6.6,5.75,,,,6.5,6.75,9.0,,,2.2,N1,BinhDinh
BD1204988,,6.0,6.5,6.5,3.5,3.5,3.25,5.25,6.75,,,3.0,N1,BinhDinh
BD1204989,,4.6,6.5,,,,6.75,6.25,9.0,,,3.0,N1,BinhDinh
BD1204990,,6.4,6.0,5.75,5.75,5.0,,,,,,6.4,N1,BinhDinh
BD1204991,,3.6,4.75,3.5,2.5,4.0,3.0,6.25,7.0,,,6.4,N1,BinhDinh
BD1204992,,6.6,7.5,,,,4.75,5.25,7.0,,,6.6,N1,BinhDinh
BD1204993,,4.4,5.5,4.0,3.75,5.0,,,,,,2.6,N1,BinhDinh
BD1204994,,6.8,5.0,3.25,2.75,3.25,2.75,6.0,9.25,,,1.6,N1,BinhDinh
BD1204995,,3.2,3.0,,,,2.75,4.75,,,,,,BinhDinh
BD1204996,,5.8,7.75,,,,9.5,8.5,8.75,,,6.0,N1,BinhDinh
BD1204997,,4.4,4.5,4.75,4.5,3.75,3.0,5.5,6.25,,,3.8,N1,BinhDinh
BD1204998,,4.8,6.0,,,,3.75,7.0,7.25,,,3.0,N1,BinhDinh
BD1204999,,3.2,4.5,,,,3.25,4.75,7.75,,,3.4,N1,BinhDinh
BD1205000,,5.6,5.5,,,,3.0,5.75,9.5,,,4.0,N1,BinhDinh
BD1205001,,6.4,5.5,,,,4.25,7.0,9.25,,,5.2,N1,BinhDinh
BD1205002,,5.8,5.0,,,,5.25,8.0,8.75,,,4.6,N1,BinhDinh
BD1205003,,3.8,5.0,,,,3.75,4.25,6.25,,,2.8,N1,BinhDinh
BD1205004,,4.2,5.75,,,,4.25,5.5,7.25,,,3.6,N1,BinhDinh
BD1205005,,3.0,5.5,4.5,3.0,4.0,,,,,,4.4,N1,BinhDinh
BD1205006,,7.6,5.5,,,,4.25,6.25,8.25,,,4.4,N1,BinhDinh
BD1205007,,6.6,4.25,4.75,6.75,4.75,,,,,,2.2,N1,BinhDinh
BD1205008,,4.0,6.0,,,,4.25,7.0,7.75,,,2.8,N1,BinhDinh
BD1205009,,6.8,6.5,,,,3.5,6.5,4.5,,,3.4,N1,BinhDinh
BD1205010,,5.0,4.5,6.25,4.5,5.5,,,,,,8.2,N1,BinhDinh
BD1205011,,6.4,6.0,4.0,7.25,5.75,,,,,,4.2,N1,BinhDinh
BD1205012,,4.8,6.25,,,,3.75,4.0,7.5,,,3.6,N1,BinhDinh
BD1205013,,5.6,6.0,6.25,6.0,5.75,,,,,,2.2,N1,BinhDinh
BD1205014,,5.2,5.5,,,,2.75,5.75,6.25,,,5.2,N1,BinhDinh
BD1205015,,5.2,7.0,3.75,5.5,6.25,,,,,,4.2,N1,BinhDinh
BD1205016,,6.0,6.0,5.25,7.0,4.25,,,,,,7.2,N1,BinhDinh
BD1205017,,2.4,4.75,,,,3.75,6.0,7.0,,,3.0,N1,BinhDinh
BD1205018,,2.6,4.0,,,,3.5,5.75,7.0,,,2.6,N1,BinhDinh
BD1205019,,7.2,6.75,,,,5.0,6.25,8.0,,,6.4,N1,BinhDinh
BD1205020,,5.2,4.25,,,,3.5,5.0,7.0,,,2.4,N1,BinhDinh
BD1205021,,5.2,5.25,4.5,4.0,4.5,,,,,,4.6,N1,BinhDinh
BD1205022,,6.2,6.75,,,,5.0,6.25,7.25,,,6.6,N1,BinhDinh
BD1205023,,4.6,3.0,4.75,2.75,3.75,4.0,5.5,7.0,,,2.2,N1,BinhDinh
BD1205024,,5.8,6.0,,,,3.5,4.0,7.0,,,4.2,N1,BinhDinh
BD1205025,,4.8,3.5,,,,3.0,5.75,6.0,,,9.4,N6,BinhDinh
BD1205026,,1.6,4.5,,,,4.25,6.75,6.75,,,2.0,N1,BinhDinh
BD1205027,,7.2,6.0,,,,5.75,8.5,9.25,,,5.4,N1,BinhDinh
BD1205028,,,3.5,,,,,,,,,,,BinhDinh
BD1205029,,5.6,3.75,,,,2.5,5.75,5.75,,,3.4,N1,BinhDinh
BD1205030,,7.8,5.25,6.75,7.5,5.75,,,,,,5.8,N1,BinhDinh
BD1205031,,5.0,6.75,,,,4.75,5.0,9.0,,,3.8,N1,BinhDinh
BD1205032,,3.2,3.75,,,,5.0,5.75,8.25,,,2.4,N1,BinhDinh
BD1205033,,5.0,5.75,,,,4.75,6.75,6.0,,,4.0,N1,BinhDinh
BD1205034,,5.6,6.0,3.5,4.25,4.75,,,,,,1.8,N1,BinhDinh
BD1205035,,7.4,5.0,6.25,6.25,3.5,,,,,,4.4,N1,BinhDinh
BD1205036,,7.4,4.5,4.25,5.5,4.75,,,,,,3.0,N1,BinhDinh
BD1205037,,5.6,6.0,4.0,3.5,4.5,,,,,,6.2,N1,BinhDinh
BD1205038,,2.4,4.5,,,,2.5,5.75,,,,,,BinhDinh
BD1205039,,4.2,5.5,2.25,3.25,2.5,4.0,4.75,7.25,,,3.6,N1,BinhDinh
